Date	Time	Open	High	Low	Close	Volume
12/01/2022	17:30:00	3377.0	3389.29	3373.0	3382.29	2206.8999
12/01/2022	18:00:00	3382.6	3393.87	3367.53	3389.61	2261.7237
12/01/2022	18:30:00	3389.95	3394.0	3368.2	3373.48	1810.0681
12/01/2022	19:00:00	3373.48	3381.0	3363.6	3380.86	1604.0967
12/01/2022	19:30:00	3380.82	3385.0	3372.56	3383.26	1255.7471
12/01/2022	20:00:00	3383.27	3385.0	3373.52	3374.5	1245.1068
12/01/2022	20:30:00	3374.5	3393.89	3367.3	3382.43	2237.2316
12/01/2022	21:00:00	3382.78	3412.11	3379.68	3395.71	3033.9596
12/01/2022	21:30:00	3395.88	3395.89	3367.34	3367.87	2349.7529
12/01/2022	22:00:00	3367.63	3380.59	3364.31	3379.64	844.3298
12/01/2022	22:30:00	3379.61	3381.77	3363.56	3363.57	759.552
12/01/2022	23:00:00	3363.57	3372.29	3357.29	3368.72	1622.7342
12/01/2022	23:30:00	3368.72	3386.3	3368.72	3372.96	1579.8457
13/01/2022	00:00:00	3372.58	3385.87	3368.6	3372.74	2034.2322
13/01/2022	00:30:00	3372.62	3375.46	3350.0	3355.09	2018.1249
13/01/2022	01:00:00	3355.08	3363.51	3341.65	3346.16	2004.8502
13/01/2022	01:30:00	3346.05	3349.93	3332.56	3334.85	1668.2051
13/01/2022	02:00:00	3334.85	3345.83	3332.44	3339.59	819.0489
13/01/2022	02:30:00	3339.53	3348.04	3332.71	3336.8	1214.655
13/01/2022	03:00:00	3336.5	3342.35	3315.86	3320.8	2032.0026
13/01/2022	03:30:00	3320.81	3341.39	3318.77	3339.59	1474.3736
13/01/2022	04:00:00	3339.58	3354.34	3338.29	3350.65	1398.3188
13/01/2022	04:30:00	3350.66	3350.87	3335.45	3337.93	1002.0581
13/01/2022	05:00:00	3337.99	3344.56	3324.88	3337.8	1923.0132
13/01/2022	05:30:00	3337.91	3344.0	3332.46	3338.05	898.4981
13/01/2022	06:00:00	3338.05	3345.0	3336.73	3342.76	507.1375
